NiveauEtude,SujetCours,ResponsableEleve,NbFoisLeverMain,MoyenneLeverMainEleve,MoyenneLeverMainClasse,NbFoisEtudiantVisiteContenuCours,MoyenneVisiteContenuCoursEleve,MoyenneVisiteContenuCoursClasse,NbFoisUtilisateurCheckAnnonces,MoyenneCheckAnnoncesEleve,MoyenneCheckAnnoncesClasse,NbFoisUtilisateurParticipeDiscussionsGroupe,MoyenneParticipationsDiscussionsEleve,MoyenneParticipationsDiscussionsClasse,NbFoisParticipationEleve,MoyenneParticipationEleve,MoyenneParticipationClasse,ParentsOntRepondusSondagesEcole,ParentsSatisfaitsEcole,NbJoursAbsence,NiveauEleveNotes,NiveauEleveChiffre,PositionMoyenne,MoyenneClasse,PositionMoyenneClasse
MaternelleElementaire,Informatique,Pere,50,DessusMoyenne,"46,775",70,DessusMoyenne,"54,79792",19,DessousMoyenne,"37,91875",15,DessousMoyenne,"43,28333",154,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Pere,55,DessusMoyenne,"46,775",89,DessusMoyenne,"54,79792",40,DessusMoyenne,"37,91875",40,DessousMoyenne,"43,28333",224,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Pere,80,DessusMoyenne,"46,775",44,DessousMoyenne,"54,79792",35,DessousMoyenne,"37,91875",10,DessousMoyenne,"43,28333",169,DessousMoyenne,"182,775",Non,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,100,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",2,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",252,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Pere,14,DessousMoyenne,"46,775",60,DessusMoyenne,"54,79792",11,DessousMoyenne,"37,91875",75,DessusMoyenne,"43,28333",160,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Pere,6,DessousMoyenne,"46,775",2,DessousMoyenne,"54,79792",38,DessusMoyenne,"37,91875",12,DessousMoyenne,"43,28333",58,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,10,DessousMoyenne,"46,775",3,DessousMoyenne,"54,79792",0,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",43,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,50,DessusMoyenne,"46,775",7,DessousMoyenne,"54,79792",9,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",116,DessousMoyenne,"182,775",Oui,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,50,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",40,DessusMoyenne,"37,91875",90,DessusMoyenne,"43,28333",270,DessusMoyenne,"182,775",Oui,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Mere,70,DessusMoyenne,"46,775",92,DessusMoyenne,"54,79792",50,DessusMoyenne,"37,91875",7,DessousMoyenne,"43,28333",219,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Pere,2,DessousMoyenne,"46,775",6,DessousMoyenne,"54,79792",2,DessousMoyenne,"37,91875",8,DessousMoyenne,"43,28333",18,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,1,DessousMoyenne,"46,775",7,DessousMoyenne,"54,79792",6,DessousMoyenne,"37,91875",10,DessousMoyenne,"43,28333",24,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,0,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",3,DessousMoyenne,"37,91875",3,DessousMoyenne,"43,28333",18,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,0,DessousMoyenne,"46,775",0,DessousMoyenne,"54,79792",5,DessousMoyenne,"37,91875",80,DessusMoyenne,"43,28333",85,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,12,DessousMoyenne,"46,775",26,DessousMoyenne,"54,79792",7,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",85,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,70,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",41,DessusMoyenne,"37,91875",33,DessousMoyenne,"43,28333",234,DessusMoyenne,"182,775",Oui,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Pere,7,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",5,DessousMoyenne,"37,91875",3,DessousMoyenne,"43,28333",27,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,90,DessusMoyenne,"46,775",70,DessusMoyenne,"54,79792",30,DessousMoyenne,"37,91875",14,DessousMoyenne,"43,28333",204,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Mere,70,DessusMoyenne,"46,775",88,DessusMoyenne,"54,79792",55,DessusMoyenne,"37,91875",40,DessousMoyenne,"43,28333",253,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Pere,77,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",51,DessusMoyenne,"37,91875",80,DessusMoyenne,"43,28333",288,DessusMoyenne,"182,775",Non,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,2,DessousMoyenne,"46,775",5,DessousMoyenne,"54,79792",3,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",60,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,25,DessousMoyenne,"46,775",27,DessousMoyenne,"54,79792",0,DessousMoyenne,"37,91875",69,DessusMoyenne,"43,28333",121,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,11,DessousMoyenne,"46,775",2,DessousMoyenne,"54,79792",0,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",63,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,0,DessousMoyenne,"46,775",8,DessousMoyenne,"54,79792",11,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",89,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Mere,77,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",12,DessousMoyenne,"37,91875",19,DessousMoyenne,"43,28333",188,DessusMoyenne,"182,775",Oui,Oui,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Mere,25,DessousMoyenne,"46,775",29,DessousMoyenne,"54,79792",40,DessusMoyenne,"37,91875",17,DessousMoyenne,"43,28333",111,DessousMoyenne,"182,775",Non,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Informatique,Mere,24,DessousMoyenne,"46,775",35,DessousMoyenne,"54,79792",23,DessousMoyenne,"37,91875",22,DessousMoyenne,"43,28333",104,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,60,DessusMoyenne,"46,775",60,DessusMoyenne,"54,79792",3,DessousMoyenne,"37,91875",60,DessusMoyenne,"43,28333",183,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Mere,21,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",0,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",83,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Mere,0,DessousMoyenne,"46,775",4,DessousMoyenne,"54,79792",8,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",42,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,66,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",55,DessusMoyenne,"37,91875",12,DessousMoyenne,"43,28333",223,DessusMoyenne,"182,775",Oui,Oui,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,70,DessusMoyenne,"46,775",98,DessusMoyenne,"54,79792",7,DessousMoyenne,"37,91875",5,DessousMoyenne,"43,28333",180,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,0,DessousMoyenne,"46,775",6,DessousMoyenne,"54,79792",4,DessousMoyenne,"37,91875",15,DessousMoyenne,"43,28333",25,DessousMoyenne,"182,775",Oui,Non,Moins7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,12,DessousMoyenne,"46,775",30,DessousMoyenne,"54,79792",0,DessousMoyenne,"37,91875",17,DessousMoyenne,"43,28333",59,DessousMoyenne,"182,775",Non,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,2,DessousMoyenne,"46,775",9,DessousMoyenne,"54,79792",7,DessousMoyenne,"37,91875",55,DessusMoyenne,"43,28333",73,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,55,DessusMoyenne,"46,775",33,DessousMoyenne,"54,79792",6,DessousMoyenne,"37,91875",9,DessousMoyenne,"43,28333",103,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,12,DessousMoyenne,"46,775",10,DessousMoyenne,"54,79792",20,DessousMoyenne,"37,91875",16,DessousMoyenne,"43,28333",58,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,70,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",2,DessousMoyenne,"37,91875",2,DessousMoyenne,"43,28333",164,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,7,DessousMoyenne,"46,775",9,DessousMoyenne,"54,79792",5,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",51,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,80,DessusMoyenne,"46,775",42,DessousMoyenne,"54,79792",20,DessousMoyenne,"37,91875",50,DessusMoyenne,"43,28333",192,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,0,DessousMoyenne,"46,775",3,DessousMoyenne,"54,79792",10,DessousMoyenne,"37,91875",3,DessousMoyenne,"43,28333",16,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Informatique,Pere,12,DessousMoyenne,"46,775",60,DessusMoyenne,"54,79792",0,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",142,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Coran,Pere,80,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",15,DessousMoyenne,"37,91875",70,DessusMoyenne,"43,28333",245,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Coran,Mere,70,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",95,DessusMoyenne,"37,91875",70,DessusMoyenne,"43,28333",315,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Coran,Mere,70,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",95,DessusMoyenne,"37,91875",70,DessusMoyenne,"43,28333",315,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Coran,Mere,60,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",50,DessusMoyenne,"37,91875",40,DessousMoyenne,"43,28333",230,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Coran,Mere,100,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",95,DessusMoyenne,"37,91875",90,DessusMoyenne,"43,28333",365,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Coran,Mere,100,DessusMoyenne,"46,775",85,DessusMoyenne,"54,79792",85,DessusMoyenne,"37,91875",70,DessusMoyenne,"43,28333",340,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Coran,Pere,10,DessousMoyenne,"46,775",60,DessusMoyenne,"54,79792",5,DessousMoyenne,"37,91875",20,DessousMoyenne,"43,28333",95,DessousMoyenne,"182,775",Oui,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Coran,Pere,19,DessousMoyenne,"46,775",65,DessusMoyenne,"54,79792",50,DessusMoyenne,"37,91875",10,DessousMoyenne,"43,28333",144,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Coran,Pere,10,DessousMoyenne,"46,775",75,DessusMoyenne,"54,79792",55,DessusMoyenne,"37,91875",11,DessousMoyenne,"43,28333",151,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Coran,Pere,80,DessusMoyenne,"46,775",90,DessusMoyenne,"54,79792",55,DessusMoyenne,"37,91875",19,DessousMoyenne,"43,28333",244,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Coran,Pere,10,DessousMoyenne,"46,775",10,DessousMoyenne,"54,79792",15,DessousMoyenne,"37,91875",19,DessousMoyenne,"43,28333",54,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Coran,Pere,70,DessusMoyenne,"46,775",75,DessusMoyenne,"54,79792",55,DessusMoyenne,"37,91875",11,DessousMoyenne,"43,28333",211,DessusMoyenne,"182,775",Oui,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Coran,Mere,100,DessusMoyenne,"46,775",75,DessusMoyenne,"54,79792",50,DessusMoyenne,"37,91875",70,DessusMoyenne,"43,28333",295,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Coran,Pere,10,DessousMoyenne,"46,775",79,DessusMoyenne,"54,79792",30,DessousMoyenne,"37,91875",30,DessousMoyenne,"43,28333",149,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Coran,Pere,60,DessusMoyenne,"46,775",55,DessusMoyenne,"54,79792",30,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",185,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Coran,Mere,100,DessusMoyenne,"46,775",75,DessusMoyenne,"54,79792",50,DessusMoyenne,"37,91875",70,DessusMoyenne,"43,28333",295,DessusMoyenne,"182,775",Oui,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Coran,Pere,80,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",51,DessusMoyenne,"37,91875",59,DessusMoyenne,"43,28333",270,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Sciences,Pere,23,DessousMoyenne,"46,775",63,DessusMoyenne,"54,79792",71,DessusMoyenne,"37,91875",89,DessusMoyenne,"43,28333",246,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Sciences,Pere,100,DessusMoyenne,"46,775",91,DessusMoyenne,"54,79792",98,DessusMoyenne,"37,91875",40,DessousMoyenne,"43,28333",329,DessusMoyenne,"182,775",Oui,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Spanish,Pere,10,DessousMoyenne,"46,775",51,DessousMoyenne,"54,79792",40,DessusMoyenne,"37,91875",40,DessousMoyenne,"43,28333",141,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
Lycee,Anglais,Pere,70,DessusMoyenne,"46,775",50,DessousMoyenne,"54,79792",33,DessousMoyenne,"37,91875",41,DessousMoyenne,"43,28333",194,DessusMoyenne,"182,775",Non,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Mathematiques,Pere,70,DessusMoyenne,"46,775",58,DessusMoyenne,"54,79792",73,DessusMoyenne,"37,91875",91,DessusMoyenne,"43,28333",292,DessusMoyenne,"182,775",Oui,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
Lycee,Français,Pere,70,DessusMoyenne,"46,775",50,DessousMoyenne,"54,79792",30,DessousMoyenne,"37,91875",49,DessusMoyenne,"43,28333",199,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
Lycee,Sciences,Pere,70,DessusMoyenne,"46,775",50,DessousMoyenne,"54,79792",33,DessousMoyenne,"37,91875",40,DessousMoyenne,"43,28333",193,DessusMoyenne,"182,775",Non,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Sciences,Pere,22,DessousMoyenne,"46,775",51,DessousMoyenne,"54,79792",48,DessusMoyenne,"37,91875",10,DessousMoyenne,"43,28333",131,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Sciences,Pere,62,DessusMoyenne,"46,775",68,DessusMoyenne,"54,79792",48,DessusMoyenne,"37,91875",80,DessusMoyenne,"43,28333",258,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Sciences,Mere,82,DessusMoyenne,"46,775",89,DessusMoyenne,"54,79792",58,DessusMoyenne,"37,91875",50,DessusMoyenne,"43,28333",279,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Sciences,Mere,72,DessusMoyenne,"46,775",80,DessusMoyenne,"54,79792",58,DessusMoyenne,"37,91875",66,DessusMoyenne,"43,28333",276,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Mere,70,DessusMoyenne,"46,775",82,DessusMoyenne,"54,79792",3,DessousMoyenne,"37,91875",73,DessusMoyenne,"43,28333",228,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Français,Mere,60,DessusMoyenne,"46,775",82,DessusMoyenne,"54,79792",93,DessusMoyenne,"37,91875",43,DessousMoyenne,"43,28333",278,DessusMoyenne,"182,775",Non,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Mere,55,DessusMoyenne,"46,775",72,DessusMoyenne,"54,79792",83,DessusMoyenne,"37,91875",14,DessousMoyenne,"43,28333",224,DessusMoyenne,"182,775",Oui,Oui,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Mere,72,DessusMoyenne,"46,775",65,DessusMoyenne,"54,79792",73,DessusMoyenne,"37,91875",66,DessusMoyenne,"43,28333",276,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Français,Mere,51,DessusMoyenne,"46,775",82,DessusMoyenne,"54,79792",53,DessusMoyenne,"37,91875",43,DessousMoyenne,"43,28333",229,DessusMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Mere,80,DessusMoyenne,"46,775",92,DessusMoyenne,"54,79792",83,DessusMoyenne,"37,91875",43,DessousMoyenne,"43,28333",298,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Français,Mere,60,DessusMoyenne,"46,775",52,DessousMoyenne,"54,79792",23,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",168,DessousMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Français,Mere,30,DessousMoyenne,"46,775",12,DessousMoyenne,"54,79792",29,DessousMoyenne,"37,91875",23,DessousMoyenne,"43,28333",94,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Pere,40,DessousMoyenne,"46,775",62,DessusMoyenne,"54,79792",83,DessusMoyenne,"37,91875",33,DessousMoyenne,"43,28333",218,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Français,Mere,60,DessusMoyenne,"46,775",52,DessousMoyenne,"54,79792",23,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",168,DessousMoyenne,"182,775",Non,Oui,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Mere,20,DessousMoyenne,"46,775",22,DessousMoyenne,"54,79792",53,DessusMoyenne,"37,91875",13,DessousMoyenne,"43,28333",108,DessousMoyenne,"182,775",Non,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Mere,20,DessousMoyenne,"46,775",52,DessousMoyenne,"54,79792",23,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",128,DessousMoyenne,"182,775",Oui,Oui,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Pere,50,DessusMoyenne,"46,775",62,DessusMoyenne,"54,79792",73,DessusMoyenne,"37,91875",43,DessousMoyenne,"43,28333",228,DessusMoyenne,"182,775",Oui,Non,Plus7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Pere,10,DessousMoyenne,"46,775",2,DessousMoyenne,"54,79792",13,DessousMoyenne,"37,91875",53,DessusMoyenne,"43,28333",78,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Mere,60,DessusMoyenne,"46,775",52,DessousMoyenne,"54,79792",23,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",168,DessousMoyenne,"182,775",Oui,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Français,Mere,15,DessousMoyenne,"46,775",52,DessousMoyenne,"54,79792",83,DessusMoyenne,"37,91875",11,DessousMoyenne,"43,28333",161,DessousMoyenne,"182,775",Oui,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Mere,80,DessusMoyenne,"46,775",42,DessousMoyenne,"54,79792",33,DessousMoyenne,"37,91875",13,DessousMoyenne,"43,28333",168,DessousMoyenne,"182,775",Oui,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Français,Mere,40,DessousMoyenne,"46,775",51,DessousMoyenne,"54,79792",20,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",144,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
MaternelleElementaire,Français,Pere,60,DessusMoyenne,"46,775",70,DessusMoyenne,"54,79792",63,DessusMoyenne,"37,91875",93,DessusMoyenne,"43,28333",286,DessusMoyenne,"182,775",Oui,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
MaternelleElementaire,Français,Pere,50,DessusMoyenne,"46,775",62,DessusMoyenne,"54,79792",13,DessousMoyenne,"37,91875",33,DessousMoyenne,"43,28333",158,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Arabe,Mere,85,DessusMoyenne,"46,775",75,DessusMoyenne,"54,79792",62,DessusMoyenne,"37,91875",53,DessusMoyenne,"43,28333",275,DessusMoyenne,"182,775",Oui,Non,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
College,Arabe,Pere,25,DessousMoyenne,"46,775",15,DessousMoyenne,"54,79792",32,DessousMoyenne,"37,91875",53,DessusMoyenne,"43,28333",125,DessousMoyenne,"182,775",Non,Non,Moins7Absences,Moyen,2,DessusMoyenne,"2,03125",DessousMoyenne
College,Arabe,Mere,10,DessousMoyenne,"46,775",35,DessousMoyenne,"54,79792",30,DessousMoyenne,"37,91875",13,DessousMoyenne,"43,28333",88,DessousMoyenne,"182,775",Non,Non,Plus7Absences,Bas,1,DessousMoyenne,"2,03125",DessousMoyenne
College,Arabe,Mere,87,DessusMoyenne,"46,775",65,DessusMoyenne,"54,79792",82,DessusMoyenne,"37,91875",33,DessousMoyenne,"43,28333",267,DessusMoyenne,"182,775",Oui,Oui,Moins7Absences,Eleve,3,DessusMoyenne,"2,03125",DessusMoyenne
